category	file	bytes	pages	sha256	text_file
06_resource_tradeoffs	2008_estimation_wireless_sensor_networks_tradeoffs.pdf	480306	7	29324470d38eab9b712085b79f946e8e079c8d69edea37d7bffcacc4b14ac54b	06_resource_tradeoffs\2008_estimation_wireless_sensor_networks_tradeoffs.txt
06_resource_tradeoffs	2010_tavildar_viswanath_wagner_gaussian_many_help_one.pdf	358571	41	a23baa10675903bf1c146a8723ff1b06b468df95e59a27506011122660f824ac	06_resource_tradeoffs\2010_tavildar_viswanath_wagner_gaussian_many_help_one.txt
06_resource_tradeoffs	2016_braverman_et_al_communication_lower_bounds_estimation.pdf	437874	33	bacdf29c806222e0cd73fce630ff0d70eb935320d21c12660bd606b8d7163de2	06_resource_tradeoffs\2016_braverman_et_al_communication_lower_bounds_estimation.txt
06_resource_tradeoffs	2016_yang_grover_kar_lossy_in_network_computation.pdf	830887	67	c40650ad22400610c4027281c0f071bd48a551b767c0da8ba160c41db005aba0	06_resource_tradeoffs\2016_yang_grover_kar_lossy_in_network_computation.txt
06_resource_tradeoffs	2017_scaman_et_al_optimal_distributed_optimization.pdf	437198	10	3624c8637b36b09fae6d9ee78545d5715d4340a901311f3c4262836d533cb9ad	06_resource_tradeoffs\2017_scaman_et_al_optimal_distributed_optimization.txt
06_resource_tradeoffs	2026_perez_salesa_et_al_event_triggered_state_estimation.pdf	1354811	13	8f653b856864fe52dd8930d19375d874b38e6811b02abdae8133fa8ee924d755	06_resource_tradeoffs\2026_perez_salesa_et_al_event_triggered_state_estimation.txt
07_sheaves_topology	2016_robinson_sheaves_sensor_integration.pdf	2027554	42	f070fd25c479d65724d8a5edbc69a1f3a2608bd6d25836fbf2c52e382de435b6	07_sheaves_topology\2016_robinson_sheaves_sensor_integration.txt
07_sheaves_topology	2018_hansen_ghrist_spectral_theory_cellular_sheaves.pdf	729467	46	4185dec93ca1eba5317376a8c8f7743bd79601ab1652f523fd83ced08d79ee05	07_sheaves_topology\2018_hansen_ghrist_spectral_theory_cellular_sheaves.txt
08_robust_control_boundary	2022_bisoffi_de_persis_tesi_petersen.pdf	1349264	17	6ada061113b4623ef23095e2bb9ef6e2fc5b36a1c1a17bc6ba79174d9147d946	08_robust_control_boundary\2022_bisoffi_de_persis_tesi_petersen.txt
08_robust_control_boundary	2022_blanchini_colaneri_giordano_zorzan_vertex_results.pdf	1721303	43	0cb75f87351596418aee15913ff314f333f469be37c300d180ff897b45bf59db	08_robust_control_boundary\2022_blanchini_colaneri_giordano_zorzan_vertex_results.txt
08_robust_control_boundary	2022_van_waarde_camlibel_mesbahi_matrix_s_lemma.pdf	348301	14	6a67b24bb3b21e3018f11303aaf33c3290cd7c673bc782e22e6f02f0617559ac	08_robust_control_boundary\2022_van_waarde_camlibel_mesbahi_matrix_s_lemma.txt
08_robust_control_boundary	2023_van_waarde_camlibel_eising_trentelman_qmi.pdf	639541	29	b69226a19a32c38266d2abf5475aea03719cb224d4fc644e762f2f6635dbd257	08_robust_control_boundary\2023_van_waarde_camlibel_eising_trentelman_qmi.txt
09_network_completion	2006_chebotarev_shamis_matrix_forest_theorems.pdf	128445	11	23db57b000817c7681937e7cecf3da9fcf495673d059ee7c3d047b0ad10d7091	09_network_completion\2006_chebotarev_shamis_matrix_forest_theorems.txt
09_network_completion	2006_kenyon_wilson_boundary_partitions.pdf	1392414	46	6beb500f0f2055bf27e63c382cecc998143c524079ae627a7750c669beb996c7	09_network_completion\2006_kenyon_wilson_boundary_partitions.txt
09_network_completion	2013_dorfler_bullo_kron_reduction.pdf	2472464	14	6af42390e0213c8e6e22e0dfa1e1e41f3f0bc8a128ba7747f0c3544d3b3f7f80	09_network_completion\2013_dorfler_bullo_kron_reduction.txt
09_network_completion	2018_lam_electroid_varieties.pdf	518561	44	ade63ddc2dd7a9d69c9b32c6725cc0ebe4f96cc6a7d1e290b6e27b60f31af2d7	09_network_completion\2018_lam_electroid_varieties.txt
09_network_completion	2020_derezinski_khanna_mahoney_dpp_projection.pdf	846440	26	b89fe04bbadb54751d4546ecd8ab59b14a50b0a933d1de6b670429f5d42fcad8	09_network_completion\2020_derezinski_khanna_mahoney_dpp_projection.txt
09_network_completion	2021_pilavci_et_al_graph_tikhonov_random_forests.pdf	889840	16	0d420a8915718ccf975bad678addf0ceecd064c60b3db83dadf049355b7dc29e	09_network_completion\2021_pilavci_et_al_graph_tikhonov_random_forests.txt
09_network_completion	2022_de_rosa_khajavirad_ratio_cut_polytope.pdf	552004	32	c0e75a97907175a03193c2501d5add0e16e27fe17f2cc46efc3232c90d38eaea	09_network_completion\2022_de_rosa_khajavirad_ratio_cut_polytope.txt
09_network_completion	2023_kassel_levy_mean_projection_dpp.pdf	511764	8	b71ab8db763bdcfd7cbcc5e1d81315bf7318f43e58c59a9e386f910f7cc60ee1	09_network_completion\2023_kassel_levy_mean_projection_dpp.txt
09_network_completion	2026_moura_leus_yaman_connected_subpartition_polytope.pdf	577174	34	231216c865c8b0e6134df2a9d6edc2c04b0a9169e346475cd0aad043dc9e9547	09_network_completion\2026_moura_leus_yaman_connected_subpartition_polytope.txt
